英語読解トレーニング＜1＞,寺川　かおり,前期　月曜日　１時限,１年生 ,ALL
英語読解トレーニング＜2＞,桃尾　美佳,後期　火曜日　１時限,１年生 ,ALL
世界の言語（タイ語Ⅰ）,中島　マリン,前期　水曜日　４時限,１年生 ,ALL
世界の言語（タイ語Ⅱ）,中島　マリン,後期　水曜日　４時限,１年生 ,ALL
日本語表現講義＜1＞,山王丸　有紀,前期（オンライン）　集中講義　集中講義,１年生 ,ALL
日本語表現講義＜2＞,山王丸　有紀,後期（オンライン）　集中講義　集中講義,１年生 ,ALL
実践漢字講座＜1＞,茗荷　円,前期　火曜日　２時限,１年生 ,ALL
実践漢字講座＜2＞,茗荷　円,後期　火曜日　２時限,１年生 ,ALL
テーマ別日本語表現（文芸をたのしむ）,林　あまり,後期　火曜日　４時限,２年生 ,ALL
テーマ別日本語表現（文章表現を磨く）＜1＞,林　あまり,前期　火曜日　３時限,２年生 ,ALL
テーマ別日本語表現（文章表現を磨く）＜2＞,林　あまり,後期　火曜日　３時限,２年生 ,ALL
スポーツと文化,稲葉　佳奈子,後期　木曜日　１時限,１年生 ,ALL
健康と科学,境　広志,前期（オンライン）　集中講義　集中講義,１年生 ,ALL
現代社会と倫理学,佐藤　雅男,後期　月曜日　４時限,１年生 ,ALL
カルチュラル・スタディーズ＜3＞,宮入　恭平,前期　水曜日　２時限,１年生 ,ALL
教育原理＜2＞,髙野　暁子,前期　水曜日　３時限,１年生 ,ALL
教育原理＜3＞,髙野　暁子,後期　水曜日　３時限,１年生 ,ALL
社会学と現代＜2＞,金崎　一郎,後期　木曜日　５時限,１年生 ,ALL
脳科学と心＜1＞,勝沼　るり,前期　水曜日　２時限,１年生 ,ALL
脳科学と心＜2＞,勝沼　るり,後期　水曜日　２時限,１年生 ,ALL
天文学入門,渡部　潤一,前期　木曜日　５時限,１年生 ,ALL
薬はなぜ効くか,増田　典之,後期　火曜日　５時限,１年生 ,ALL
科学技術の発展と歴史,渋谷　一夫,後期　木曜日　４時限,１年生 ,ALL
サイエンス・トピックス（物質の科学）,稲垣　昭子,前期　木曜日　３時限,１年生 ,ALL
サイエンス・トピックス（生命の科学）,麻生　一枝,前期　木曜日　３時限,１年生 ,ALL
特別支援教育概論＜1＞,小林　玄,前期　金曜日　４時限,２年生 ,ALL
特別支援教育概論＜2＞,小林　玄,前期　金曜日　５時限,２年生 ,ALL
成蹊を知る,北川　浩,後期（オンライン）　集中講義　集中講義,１年生 ,ALL
大学生活と相互理解,岩田　淳子,前期　木曜日　２時限,１年生 ,ALL
学際特殊講義（SNSと情報リテラシー）,高橋　暁子,前期　金曜日　３時限,１年生 ,BUSSINESS
情報社会倫理,会田　和弘,後期　木曜日　３時限,１年生 ,SOCIENCE
生物学概論,鈴木　誠一,後期　火曜日　５時限,１年生 ,SOCIENCE
確率統計基礎,青柳　里果,後期　木曜日　５時限,２年生 ,SOCIENCE
確率論,小森　理,前期　月曜日　４時限,２年生 ,SOCIENCE
メディア技術概論,小池　淳,前期　火曜日　３時限,２年生 ,SOCIENCE
機械加工学,千葉　明,後期　木曜日　４時限,２年生 ,SOCIENCE
日本語の歴史Ａ,久保田　篤,前期　火曜日　４時限,１年生 ,LITERATURE
日本語の歴史Ｂ,久保田　篤,後期　火曜日　４時限,１年生 ,LITERATURE
日本の文学と思想,桜井　宏徳,後期　金曜日　４時限,１年生 ,LITERATURE
世界美術史A,人見　伸子,後期　金曜日　２時限,１年生 ,LITERATURE
歴史と社会,今田　絵里香,前期　火曜日　２時限,１年生 ,LITERATURE
サブカルチャー論,飯塚　邦彦,後期　月曜日　２時限,２年生 ,LITERATURE
日本語教育理解と実践,小田切　由香子,後期　月曜日　５時限,１年生 ,LITERATURE
政治心理学,安野　智子,前期　月曜日　３時限,２年生 ,JUSTIFICATION
政治心理学,安野　智子,前期　月曜日　４時限,２年生 ,JUSTIFICATION
